stock_id,pb,pe,div_yield,pb_rank,pe_rank,div_rank,total_score
6176,1.5700626,9.757887,798.0,2.0,2.0,4.0,8.0
6670,2.4533896,10.099451,667.0,5.0,3.0,5.0,13.0
2618,1.8036306,6.976535,466.0,3.0,1.0,9.0,13.0
1477,4.142131,13.1609535,1465.0,9.0,5.0,1.0,15.0
2458,3.7748158,13.54515,896.0000000000001,7.0,6.0,2.0,15.0
2451,2.4125335,22.465754,507.0,4.0,12.0,7.0,23.0
3034,4.318522,15.2691965,539.0,10.0,7.0,6.0,23.0
2637,26.679281,10.502794,886.9999999999999,21.0,4.0,3.0,28.0
8464,4.6494703,16.315363,360.0,12.0,8.0,11.0,31.0
2454,5.1379437,19.118998,432.0,13.0,10.0,10.0,33.0
8454,6.1636677,19.681246,482.0,15.0,11.0,8.0,34.0
2379,6.2179914,16.975307,282.0,16.0,9.0,14.0,39.0
3035,3.4960914,41.981133,169.0,6.0,18.0,16.0,40.0
2395,6.0196943,29.314947,287.0,14.0,14.0,13.0,41.0
6531,4.329289,31.442205,236.0,11.0,15.0,15.0,41.0
8046,1.4989722,119.318184,95.0,1.0,21.0,19.0,41.0
6409,10.44142,26.384958,330.0,19.0,13.0,12.0,44.0
6415,3.9844763,56.14439,66.0,8.0,20.0,21.0,49.0
3443,11.622196,38.309353,150.0,20.0,16.0,17.0,53.0
3563,6.5421424,55.273438,106.0,17.0,19.0,18.0,54.0
6805,9.712045,38.90854,71.0,18.0,17.0,20.0,55.0
