stock_id,company_name
2330,台積電
2317,鴻海
2454,聯發科
2881,富邦金
2382,廣達
2412,中華電
2308,台達電
2882,國泰金
2891,中信金
3711,日月光投控
0050,元大台灣50
2886,兆豐金
2303,聯電
2884,玉山金
2357,華碩
6669,緯穎
0056,元大高股息
2603,長榮
1216,統一
3045,台灣大
00878,國泰永續高股息
2885,元大金
2345,智邦
2892,第一金
00919,群益台灣精選高息
3231,緯創
5880,合庫金
2880,華南金
6505,台塑化
4904,遠傳
3034,聯詠
3008,大立光
2890,永豐金
2207,和泰車
2002,中鋼
2383,台光電
3017,奇鋐
2395,研華
2379,瑞昱
2615,萬海
2883,凱基金
2912,統一超
2609,陽明
2301,光寶科
3293,鈊象
8069,元太
2327,國巨
006208,富邦台50
5876,上海商銀
00679B,元大美債20年
3661,世芯-KY
00937B,群益ESG投等債20+
1301,台塑
1303,南亞
2887,台新金
3653,健策
2618,長榮航
2801,彰銀
2888,新光金
4938,和碩
5871,中租-KY
2059,川湖
6919,康霈*
1101,台泥
2376,技嘉
00687B,國泰20年美債
2408,南亞科
6446,藥華藥
1402,遠東新
5347,世界
1590,亞德客-KY
3529,力旺
5274,信驊
00929,復華台灣科技優息
2633,台灣高鐵
1519,華城
3037,欣興
3533,嘉澤
2360,致茂
1102,亞泥
00713,元大台灣高息低波
3036,文曄
3665,貿聯-KY
2356,英業達
3443,創意
6415,矽力*-KY
6488,環球晶
2834,臺企銀
00751B,元大AAA至A公司債
5269,祥碩
2474,可成
1326,台化
2368,金像電
2610,華航
00720B,元大投資級公司債
2105,正新
00940,元大台灣價值高息
3044,健鼎
2449,京元電子
2324,仁寶
2347,聯強
8464,億豐
2377,微星
2404,漢唐
2812,台中銀
00725B,國泰投資級公司債
3702,大聯大
6409,旭隼
1476,儒鴻
9910,豐泰
00772B,中信高評級公司債
8299,群聯
1504,東元
2385,群光
6239,力成
2353,宏碁
1503,士電
4958,臻鼎-KY
3481,群創
2409,友達
00724B,群益投資級金融債
9904,寶成
2354,鴻準
00773B,中信優先金融債
00761B,國泰A級公司債
6526,達發
9945,潤泰新
2344,華邦電
6472,保瑞
2542,興富發
6223,旺矽
00918,大華優利高填息30
1513,中興電
2027,大成鋼
1605,華新
00746B,富邦A級公司債
6781,AES-KY
3005,神基
2646,星宇航空
3706,神達
1229,聯華
00933B,國泰10Y+金融債
2049,上銀
6890,來億-KY
6121,新普
2258,鴻華先進-創
2838,聯邦銀
6139,亞翔
8046,南電
8454,富邦媒
6789,采鈺
2313,華通
4583,台灣精銳
6770,力積電
00631L,元大台灣50正2
6176,瑞儀
2539,櫻花建
00740B,富邦全球投等債
4749,新應材
1319,東陽
9958,世紀鋼
3324,雙鴻
2915,潤泰全
00792B,群益A級公司債
6274,台燿
1795,美時
5483,中美晶
8210,勤誠
2809,京城銀
00881,國泰台灣科技龍頭
6285,啟碁
00777B,凱基AAA至A公司債
1477,聚陽
9941,裕融
2845,遠東銀
1210,大成
00632R,元大台灣50反1
9917,中保科
2504,國產
6805,富世達
3023,信邦
00795B,中信美國公債20年
5434,崇越
5522,遠雄
2882A,國泰特
1722,台肥
00662,富邦NASDAQ
5904,寶雅
2352,佳世達
00722B,群益投資級電信債
2540,愛山林
2206,三陽工業
00757,統一FANG+
6531,愛普*
00778B,凱基金融債20+
9939,宏全
5536,聖暉*
3406,玉晶光
2889,國票金
3035,智原
5903,全家
6691,洋基工程
1802,台玻
4966,譜瑞-KY
2006,東和鋼鐵
00723B,群益投資級科技債
1736,喬山
3131,弘塑
7722,LINEPAY
6412,群電
6592,和潤企業
6005,群益證
2606,裕民
2882B,國泰金乙特
3376,新日興
2597,潤弘
3596,智易
2451,創見
6515,穎崴
2637,慧洋-KY
6147,頎邦
2881B,富邦金乙特
1560,中砂
2634,漢翔
6670,復盛應用
9921,巨大
6414,樺漢
2923,鼎固-KY
2645,長榮航太
00830,國泰費城半導體
2337,旺宏
1907,永豐餘
6757,台灣虎航
6257,矽格
2881A,富邦特
3019,亞光
4766,南寶
6191,精成科
2543,皇昌
2492,華新科
3374,精材
3189,景碩
3264,欣銓
2458,義隆
00756B,群益投等新興公債
00712,復華富時不動產
1231,聯華食
00726B,國泰新興投等債
00882,中信中國高股息
2201,裕隆
6196,帆宣
2015,豐興
00764B,群益25年美債
00939,統一台灣高息動能
2607,榮運
6187,萬潤
2211,長榮鋼
8415,大國鋼
3680,家登
3105,穩懋
6442,光聖
2204,中華
00953B,群益優選非投等債
4915,致伸
2388,威盛
6944,兆聯實業
1785,光洋科
1215,卜蜂
8926,台汽電
3563,牧德
00922,國泰台灣領袖50
2850,新產
2548,華固
2855,統一證
3227,原相
3030,德律
7749,意騰-KY
4743,合一
2393,億光
00915,凱基優選高股息30
2903,遠百
2498,宏達電
00646,元大S&P500
4772,台特化
6561,是方
00785B,富邦金融投等債
2441,超豐
6278,台表科
3450,聯鈞
3413,京鼎
00779B,凱基美債25+
00692,富邦公司治理
3260,威剛
6213,聯茂
1227,佳格
6605,帝寶
4919,新唐
6873,泓德能源
6214,精誠
9907,統一實
